Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,3/06/2009,6,2009,PS030609-9,169,210,152,,F,,,,,,C,,,FALSE,,,,,28,19,153,48,100.6,100.6,,8,8,8,Agree,3,o,0.650659407,No MIR
NSW1,BTP,7/06/2009,6,2009,PS070609-11,182,223,165,,M,,200,y,,,,,,FALSE,,,,,28,19,153,46,82.3,82.3,,14,14,14,Agree,3,o,0.650659407,No MIR
NSW1,BTP,8/06/2009,6,2009,PS080609-9,197,241,178,,F,,,,,,D,,,FALSE,,,,,28,15,153,48,100.55,91.4,109.7,11,12,11,Agree,3,o,0.650659407,No MIR
NSW1,BTP,12/05/2009,5,2009,PS120509-2,184,227,168,,F,,,,,,D,,,FALSE,,,,,29,4,153,36,65.8,47.5,84.1,13,11,12,b/w,4,o,0.939987172,No MIR
NSW1,BTP,12/05/2009,5,2009,PS120509-3,197,243,179,,F,,,,,,B,,,FALSE,,,,,29,4,153,36,65.8,47.5,84.1,16,16,16,b/w,4,o,0.939987172,No MIR
NSW1,BTP,12/05/2009,5,2009,PS120509-4,195,240,177,,F,,,,,,D,,,FALSE,,,,,29,4,153,36,65.8,47.5,84.1,11,12,11,Pascal,4,o,0.488264336,No MIR
NSW1,BTP,12/05/2009,5,2009,PS120509-5,187,231,169,,F,,,,,,D,,,FALSE,,,,,29,4,153,36,65.8,47.5,84.1,9,9,9,Pascal,4,o,0.488264336,No MIR
NSW1,BTP,12/06/2009,6,2009,PS120609-1,206,249,186,,M,,210,y,,,,,,FALSE,,,,,29,8,153,35,56.7,49.4,64,0,22,,Pascal,4,o,0.488264336,No MIR
NSW1,BTP,12/06/2009,6,2009,PS120609-2,219,267,200,,F,,,,,,B,,,FALSE,,,,,29,8,153,35,56.7,49.4,64,18,17,18,Pascal,4,o,0.488264336,No MIR
NSW1,BTP,14/05/2009,5,2009,PS140509-6,219,263,199,,F,,,,,,D,,,FALSE,,,,,28,43,153,49,111.55,109.7,113.4,20,19,20,Pascal,4,o,0.488264336,No MIR
NSW2,BTP,23/01/2013,1,2013,19,168,209,154,53.8,M,,1560,y,,,,,,FALSE,,,,,,0,,0,72.5,70,75,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,46,128,159,115,19.5,M,,34,p,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,48,146,185,132,32.8,M,,34,,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,50,169,216,153,55.4,M,,,,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,60,147,186,133,48.2,M,,72,,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,63,145,191,134,39.2,M,,,p,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,66,127,157,115,24.5,M,,41,p,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,74,156,200,140,55.3,M,,161,y,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,24/01/2013,1,2013,81,156,197,139,49.2,M,,111,y,,,,,,FALSE,,,,,,0,,0,53,51,55,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,113,195,242,177,102,M,,,y,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,118,134,172,122,24.5,M,,50,p,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,132,184,229,168,82,M,,,y,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,133,128,158,115,18.5,,,,,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,140,194,242,176,67,M,,192,y,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,142,162,217,146,53,M,,200,y,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,152,153,192,138,42,M,,165,y,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,8/02/2013,2,2013,158,157,195,141,46.3,M,,145,p,,,,,,FALSE,,,,,30,2,153,21,60,55,65,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,167,191,245,173,74,M,,183,y,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,173,192,240,175,91,M,,182,p,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,175,,300,,,,,,,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,177,159,199,144,47,M,,290,y,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,178,120,152,111,17,M,,,y,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,179,167,208,151,51,M,,156,y,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,181,146,185,132,39,M,,81,p,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,182,166,209,157,57,M,,105,y,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
NSW2,BTP,9/02/2013,2,2013,187,123,154,110,26,M,,42,p,,,,,,FALSE,,,,,30,6,153,19,52.5,49,56,,,,,,,,
